########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 30-DEC-25-03:00:50:PM_13.avi (trim 1)

URL (Original): http://192.168.18.33:3000/originals/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.avi
URL (Web): http://192.168.18.33:3000/videos/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.mp4

FPS: 20
Total Frames: 4403

Start Frames: 1

End Frames: 2201

Total Frames Trimmed Version: 2201

Export Date: 2026-02-09T13:02:42.863Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

837:bg,bg,N/A,N/A
838:bg,bg,N/A,N/A
839:bg,bg,N/A,N/A
840:bg,bg,N/A,N/A
841:bg,bg,N/A,N/A
842:bg,bg,N/A,N/A
843:bg,bg,N/A,N/A
844:bg,bg,N/A,N/A
845:bg,bg,N/A,N/A
846:bg,bg,N/A,N/A
847:bg,bg,N/A,N/A
848:bg,bg,N/A,N/A
849:bg,bg,N/A,N/A
850:bg,bg,N/A,N/A
851:bg,bg,N/A,N/A
852:bg,bg,N/A,N/A
853:bg,bg,N/A,N/A
854:bg,bg,N/A,N/A
855:bg,bg,N/A,N/A
856:bg,bg,N/A,N/A
857:bg,bg,N/A,N/A
858:bg,bg,N/A,N/A
859:bg,bg,N/A,N/A
860:bg,bg,N/A,N/A
861:bg,bg,N/A,N/A
862:bg,bg,N/A,N/A
863:bg,bg,N/A,N/A
864:bg,bg,N/A,N/A
865:bg,bg,N/A,N/A
866:bg,bg,N/A,N/A
867:bg,bg,N/A,N/A
868:bg,bg,N/A,N/A
869:bg,bg,N/A,N/A
870:bg,bg,N/A,N/A
871:bg,bg,N/A,N/A
872:bg,bg,N/A,N/A
873:bg,bg,N/A,N/A
874:bg,bg,N/A,N/A
875:bg,bg,N/A,N/A
876:bg,bg,N/A,N/A
877:bg,bg,N/A,N/A
878:bg,bg,N/A,N/A
879:bg,bg,N/A,N/A
880:bg,bg,N/A,N/A
881:bg,bg,N/A,N/A
882:bg,bg,N/A,N/A
883:bg,bg,N/A,N/A
884:bg,bg,N/A,N/A
885:bg,bg,N/A,N/A
886:bg,bg,N/A,N/A
887:bg,bg,N/A,N/A
888:bg,bg,N/A,N/A
889:bg,bg,N/A,N/A
890:bg,bg,N/A,N/A
891:bg,bg,N/A,N/A
892:bg,bg,N/A,N/A
893:bg,bg,N/A,N/A
894:bg,bg,N/A,N/A
895:bg,bg,N/A,N/A
896:bg,bg,N/A,N/A
897:bg,bg,N/A,N/A
898:bg,bg,N/A,N/A
899:bg,bg,N/A,N/A
900:bg,bg,N/A,N/A
901:bg,bg,N/A,N/A
902:bg,bg,N/A,N/A
903:bg,bg,N/A,N/A
904:bg,bg,N/A,N/A
905:bg,bg,N/A,N/A
906:bg,bg,N/A,N/A
907:bg,bg,N/A,N/A
908:bg,bg,N/A,N/A
909:bg,bg,N/A,N/A
910:bg,bg,N/A,N/A
911:bg,bg,N/A,N/A
912:bg,bg,N/A,N/A
913:bg,bg,N/A,N/A
914:bg,bg,N/A,N/A
915:bg,bg,N/A,N/A
916:bg,bg,N/A,N/A
917:bg,bg,N/A,N/A
918:bg,bg,N/A,N/A
919:bg,bg,N/A,N/A
920:bg,bg,N/A,N/A
921:bg,bg,N/A,N/A
922:bg,bg,N/A,N/A
923:bg,bg,N/A,N/A
924:bg,bg,N/A,N/A
925:bg,bg,N/A,N/A
926:bg,bg,N/A,N/A
927:bg,bg,N/A,N/A
928:bg,bg,N/A,N/A
929:bg,bg,N/A,N/A
930:bg,bg,N/A,N/A
931:bg,bg,N/A,N/A
932:bg,bg,N/A,N/A
933:bg,bg,N/A,N/A
934:bg,bg,N/A,N/A
935:bg,bg,N/A,N/A
936:bg,bg,N/A,N/A
937:bg,bg,N/A,N/A
938:bg,bg,N/A,N/A
939:bg,bg,N/A,N/A
940:bg,bg,N/A,N/A
941:bg,bg,N/A,N/A
942:bg,bg,N/A,N/A
943:bg,bg,N/A,N/A
944:bg,bg,N/A,N/A
945:bg,bg,N/A,N/A
946:bg,bg,N/A,N/A
947:bg,bg,N/A,N/A
948:bg,bg,N/A,N/A
949:bg,bg,N/A,N/A
950:bg,bg,N/A,N/A
951:bg,bg,N/A,N/A
952:bg,bg,N/A,N/A
953:bg,bg,N/A,N/A
954:bg,bg,N/A,N/A
955:bg,bg,N/A,N/A
956:bg,bg,N/A,N/A
957:bg,bg,N/A,N/A
958:bg,bg,N/A,N/A
959:bg,bg,N/A,N/A
960:bg,bg,N/A,N/A
961:bg,bg,N/A,N/A
962:bg,bg,N/A,N/A
963:bg,bg,N/A,N/A
964:bg,bg,N/A,N/A
965:bg,bg,N/A,N/A
966:bg,bg,N/A,N/A
967:bg,bg,N/A,N/A
968:bg,bg,N/A,N/A
969:bg,bg,N/A,N/A
970:bg,bg,N/A,N/A
971:bg,bg,N/A,N/A
972:bg,bg,N/A,N/A
973:bg,bg,N/A,N/A
974:bg,bg,N/A,N/A
975:bg,bg,N/A,N/A
976:bg,bg,N/A,N/A
977:bg,bg,N/A,N/A
978:bg,bg,N/A,N/A
979:bg,bg,N/A,N/A
980:bg,bg,N/A,N/A
981:bg,bg,N/A,N/A
982:bg,bg,N/A,N/A
983:bg,bg,N/A,N/A
984:bg,bg,N/A,N/A
985:bg,bg,N/A,N/A
986:bg,bg,N/A,N/A
987:bg,bg,N/A,N/A
988:bg,bg,N/A,N/A
989:bg,bg,N/A,N/A
990:bg,bg,N/A,N/A
991:bg,bg,N/A,N/A
992:bg,bg,N/A,N/A
993:bg,bg,N/A,N/A
994:bg,bg,N/A,N/A
995:bg,bg,N/A,N/A
996:bg,bg,N/A,N/A
997:bg,bg,N/A,N/A
998:bg,bg,N/A,N/A
999:bg,bg,N/A,N/A
1000:bg,bg,N/A,N/A
1001:bg,bg,N/A,N/A
1002:bg,bg,N/A,N/A
1003:bg,bg,N/A,N/A
1004:bg,bg,N/A,N/A
1005:bg,bg,N/A,N/A
1006:bg,bg,N/A,N/A
1007:bg,bg,N/A,N/A
1008:bg,bg,N/A,N/A
1009:bg,bg,N/A,N/A
1010:bg,bg,N/A,N/A
1011:bg,bg,N/A,N/A
1012:bg,bg,N/A,N/A
1013:bg,bg,N/A,N/A
1014:bg,bg,N/A,N/A
1015:bg,bg,N/A,N/A
1016:bg,bg,N/A,N/A
1017:bg,bg,N/A,N/A
1018:bg,bg,N/A,N/A
1019:bg,bg,N/A,N/A
1020:bg,bg,N/A,N/A
1021:bg,bg,N/A,N/A
1022:bg,bg,N/A,N/A
1023:bg,bg,N/A,N/A
1024:bg,bg,N/A,N/A
1025:bg,bg,N/A,N/A
1026:bg,bg,N/A,N/A
1027:bg,bg,N/A,N/A
1028:bg,bg,N/A,N/A
1029:bg,bg,N/A,N/A
1030:bg,bg,N/A,N/A
1031:bg,bg,N/A,N/A
1032:bg,bg,N/A,N/A
1033:bg,bg,N/A,N/A
1034:bg,bg,N/A,N/A
1035:bg,bg,N/A,N/A
1036:bg,bg,N/A,N/A
1037:bg,bg,N/A,N/A
1038:bg,bg,N/A,N/A
1039:bg,bg,N/A,N/A
1040:bg,bg,N/A,N/A
1041:bg,bg,N/A,N/A
1042:bg,bg,N/A,N/A
1043:bg,bg,N/A,N/A
1044:bg,bg,N/A,N/A
1045:bg,bg,N/A,N/A
1046:bg,bg,N/A,N/A
1047:bg,bg,N/A,N/A
1048:bg,bg,N/A,N/A
1049:bg,bg,N/A,N/A
1050:bg,bg,N/A,N/A
1051:bg,bg,N/A,N/A
1052:bg,bg,N/A,N/A
1053:bg,bg,N/A,N/A
1054:bg,bg,N/A,N/A
1055:bg,bg,N/A,N/A
1056:bg,bg,N/A,N/A
1057:bg,bg,N/A,N/A
1058:bg,bg,N/A,N/A
1059:bg,bg,N/A,N/A
1060:bg,bg,N/A,N/A
1061:bg,bg,N/A,N/A
1062:bg,bg,N/A,N/A
1063:bg,bg,N/A,N/A
1064:bg,bg,N/A,N/A
1065:bg,bg,N/A,N/A
1066:bg,bg,N/A,N/A
1067:bg,bg,N/A,N/A
1068:bg,bg,N/A,N/A
1069:bg,bg,N/A,N/A
1070:bg,bg,N/A,N/A
1071:bg,bg,N/A,N/A
1072:bg,bg,N/A,N/A
1073:bg,bg,N/A,N/A
1074:bg,bg,N/A,N/A
1075:bg,bg,N/A,N/A
1076:bg,bg,N/A,N/A
1077:bg,bg,N/A,N/A
1078:bg,bg,N/A,N/A
1079:bg,bg,N/A,N/A
1080:bg,bg,N/A,N/A
1081:bg,bg,N/A,N/A
1082:bg,bg,N/A,N/A
1083:bg,bg,N/A,N/A
1084:bg,bg,N/A,N/A
1085:bg,bg,N/A,N/A
1086:bg,bg,N/A,N/A
1087:bg,bg,N/A,N/A
1088:bg,bg,N/A,N/A
1089:bg,bg,N/A,N/A
1090:bg,bg,N/A,N/A
1091:bg,bg,N/A,N/A
1092:bg,bg,N/A,N/A
1093:bg,bg,N/A,N/A
1094:bg,bg,N/A,N/A
1095:bg,bg,N/A,N/A
1096:bg,bg,N/A,N/A
1097:bg,bg,N/A,N/A
1098:bg,bg,N/A,N/A
1099:bg,bg,N/A,N/A
1100:bg,bg,N/A,N/A
1101:bg,bg,N/A,N/A
1102:bg,bg,N/A,N/A
1103:bg,bg,N/A,N/A
1104:bg,bg,N/A,N/A
1105:bg,bg,N/A,N/A
1106:bg,bg,N/A,N/A
1107:bg,bg,N/A,N/A
1108:bg,bg,N/A,N/A
1109:bg,bg,N/A,N/A
1110:bg,bg,N/A,N/A
1111:bg,bg,N/A,N/A
1112:bg,bg,N/A,N/A
1113:bg,bg,N/A,N/A
1114:bg,bg,N/A,N/A
1115:bg,bg,N/A,N/A
1116:bg,bg,N/A,N/A
1117:bg,bg,N/A,N/A
1118:bg,bg,N/A,N/A
1119:bg,bg,N/A,N/A
1120:bg,bg,N/A,N/A
1121:bg,bg,N/A,N/A
1122:bg,bg,N/A,N/A
1123:bg,bg,N/A,N/A
1124:bg,bg,N/A,N/A
1125:bg,bg,N/A,N/A
1126:bg,bg,N/A,N/A
1127:bg,bg,N/A,N/A
1128:bg,bg,N/A,N/A
1129:bg,bg,N/A,N/A
1130:bg,bg,N/A,N/A
1131:bg,bg,N/A,N/A
1132:bg,bg,N/A,N/A
1133:bg,bg,N/A,N/A
1134:bg,bg,N/A,N/A
1135:bg,bg,N/A,N/A
1136:bg,bg,N/A,N/A
1137:bg,bg,N/A,N/A
1138:bg,bg,N/A,N/A
1139:bg,bg,N/A,N/A
1140:bg,bg,N/A,N/A
1141:bg,bg,N/A,N/A
1142:bg,bg,N/A,N/A
1143:bg,bg,N/A,N/A
1144:bg,bg,N/A,N/A
1145:bg,bg,N/A,N/A
1146:bg,bg,N/A,N/A
1147:bg,bg,N/A,N/A
1148:bg,bg,N/A,N/A
1149:bg,bg,N/A,N/A
1150:bg,bg,N/A,N/A
1151:bg,bg,N/A,N/A
1152:bg,bg,N/A,N/A
1153:bg,bg,N/A,N/A
1154:bg,bg,N/A,N/A
1155:bg,bg,N/A,N/A
1156:bg,bg,N/A,N/A
1157:bg,bg,N/A,N/A
1158:bg,bg,N/A,N/A
1159:bg,bg,N/A,N/A
1160:bg,bg,N/A,N/A
1161:bg,bg,N/A,N/A
1162:bg,bg,N/A,N/A
1163:bg,bg,N/A,N/A
1164:bg,bg,N/A,N/A
1165:bg,bg,N/A,N/A
1166:bg,bg,N/A,N/A
1167:bg,bg,N/A,N/A
1168:bg,bg,N/A,N/A
1169:bg,bg,N/A,N/A
1170:bg,bg,N/A,N/A
1171:bg,bg,N/A,N/A
1172:bg,bg,N/A,N/A
1173:bg,bg,N/A,N/A
1174:bg,bg,N/A,N/A
1175:bg,bg,N/A,N/A
1176:bg,bg,N/A,N/A
1177:bg,bg,N/A,N/A
1178:bg,bg,N/A,N/A
1179:bg,bg,N/A,N/A
1180:bg,bg,N/A,N/A
1181:bg,bg,N/A,N/A
1182:bg,bg,N/A,N/A
1183:bg,bg,N/A,N/A
1184:bg,bg,N/A,N/A
1185:bg,bg,N/A,N/A
1186:bg,bg,N/A,N/A
1187:bg,bg,N/A,N/A
1188:bg,bg,N/A,N/A
1189:bg,bg,N/A,N/A
1190:bg,bg,N/A,N/A
1191:bg,bg,N/A,N/A
1192:bg,bg,N/A,N/A
1193:bg,bg,N/A,N/A
1194:bg,bg,N/A,N/A
1195:bg,bg,N/A,N/A
1196:bg,bg,N/A,N/A
1197:bg,bg,N/A,N/A
1198:bg,bg,N/A,N/A
1199:bg,bg,N/A,N/A
1200:bg,bg,N/A,N/A
1201:bg,bg,N/A,N/A
1202:bg,bg,N/A,N/A
1203:bg,bg,N/A,N/A
1204:bg,bg,N/A,N/A
1205:bg,bg,N/A,N/A
1206:bg,bg,N/A,N/A
1207:bg,bg,N/A,N/A
1208:bg,bg,N/A,N/A
1209:bg,bg,N/A,N/A
1210:bg,bg,N/A,N/A
1211:bg,bg,N/A,N/A
1212:bg,bg,N/A,N/A
1213:bg,bg,N/A,N/A
1214:bg,bg,N/A,N/A
1215:bg,bg,N/A,N/A
1216:bg,bg,N/A,N/A
1217:bg,bg,N/A,N/A
1218:bg,bg,N/A,N/A
1219:bg,bg,N/A,N/A
1220:bg,bg,N/A,N/A
1221:bg,bg,N/A,N/A
1222:bg,bg,N/A,N/A
1223:bg,bg,N/A,N/A
1224:bg,bg,N/A,N/A
1225:bg,bg,N/A,N/A
1226:bg,bg,N/A,N/A
1227:bg,bg,N/A,N/A
1228:bg,bg,N/A,N/A
1229:bg,bg,N/A,N/A
1230:bg,bg,N/A,N/A
1231:bg,bg,N/A,N/A
1232:bg,bg,N/A,N/A
1233:bg,bg,N/A,N/A
1234:bg,bg,N/A,N/A
1235:bg,bg,N/A,N/A
1236:bg,bg,N/A,N/A
1237:bg,bg,N/A,N/A
1238:bg,bg,N/A,N/A
1239:bg,bg,N/A,N/A
1240:bg,bg,N/A,N/A
1241:bg,bg,N/A,N/A
1242:bg,bg,N/A,N/A
1243:bg,bg,N/A,N/A
1244:bg,bg,N/A,N/A
1245:bg,bg,N/A,N/A
1246:bg,bg,N/A,N/A
1247:bg,bg,N/A,N/A
1248:bg,bg,N/A,N/A
1249:bg,bg,N/A,N/A
1250:bg,bg,N/A,N/A
1251:bg,bg,N/A,N/A
1252:bg,bg,N/A,N/A
1253:bg,bg,N/A,N/A
1254:bg,bg,N/A,N/A
1255:bg,bg,N/A,N/A
1256:bg,bg,N/A,N/A
1257:bg,bg,N/A,N/A
1258:bg,bg,N/A,N/A
1259:bg,bg,N/A,N/A
1260:bg,bg,N/A,N/A
1261:bg,bg,N/A,N/A
1262:bg,bg,N/A,N/A
1263:bg,bg,N/A,N/A
1264:bg,bg,N/A,N/A
1265:bg,bg,N/A,N/A
1266:bg,bg,N/A,N/A
1267:bg,bg,N/A,N/A
1268:bg,bg,N/A,N/A
1269:bg,bg,N/A,N/A
1270:bg,bg,N/A,N/A
1271:bg,bg,N/A,N/A
1272:bg,bg,N/A,N/A
1273:bg,bg,N/A,N/A
1274:bg,bg,N/A,N/A
1275:bg,bg,N/A,N/A
1276:bg,bg,N/A,N/A
1277:bg,bg,N/A,N/A
1278:bg,bg,N/A,N/A
1279:bg,bg,N/A,N/A
1280:bg,bg,N/A,N/A
1281:bg,bg,N/A,N/A
1282:bg,bg,N/A,N/A
1283:bg,bg,N/A,N/A
1284:bg,bg,N/A,N/A
1285:bg,bg,N/A,N/A
1286:bg,bg,N/A,N/A
1287:bg,bg,N/A,N/A
1288:bg,bg,N/A,N/A
1289:bg,bg,N/A,N/A
1290:bg,bg,N/A,N/A
1291:bg,bg,N/A,N/A
1292:bg,bg,N/A,N/A
1293:bg,bg,N/A,N/A
1294:bg,bg,N/A,N/A
1295:bg,bg,N/A,N/A
1296:bg,bg,N/A,N/A
1297:bg,bg,N/A,N/A
1298:bg,bg,N/A,N/A
1299:bg,bg,N/A,N/A
1300:bg,bg,N/A,N/A
1301:bg,bg,N/A,N/A
1302:bg,bg,N/A,N/A
1303:bg,bg,N/A,N/A
1304:bg,bg,N/A,N/A
1305:bg,bg,N/A,N/A
1306:bg,bg,N/A,N/A
1307:bg,bg,N/A,N/A
1308:bg,bg,N/A,N/A
1309:bg,bg,N/A,N/A
1310:bg,bg,N/A,N/A
1311:bg,bg,N/A,N/A
1312:bg,bg,N/A,N/A
1313:bg,bg,N/A,N/A
1314:bg,bg,N/A,N/A
1315:bg,bg,N/A,N/A
1316:bg,bg,N/A,N/A
1317:bg,bg,N/A,N/A
1318:bg,bg,N/A,N/A
1319:bg,bg,N/A,N/A
1320:bg,bg,N/A,N/A
1321:bg,bg,N/A,N/A
1322:bg,bg,N/A,N/A
1323:bg,bg,N/A,N/A
1324:bg,bg,N/A,N/A
1325:bg,bg,N/A,N/A
1326:bg,bg,N/A,N/A
1327:bg,bg,N/A,N/A
1328:bg,bg,N/A,N/A
1329:bg,bg,N/A,N/A
1330:bg,bg,N/A,N/A
1331:bg,bg,N/A,N/A
1332:bg,bg,N/A,N/A
1333:bg,bg,N/A,N/A
1334:bg,bg,N/A,N/A
1335:bg,bg,N/A,N/A
1336:bg,bg,N/A,N/A
1337:bg,bg,N/A,N/A
1338:bg,bg,N/A,N/A
1339:bg,bg,N/A,N/A
1340:bg,bg,N/A,N/A
1341:bg,bg,N/A,N/A
1342:bg,bg,N/A,N/A
1343:bg,bg,N/A,N/A
1344:bg,bg,N/A,N/A
1345:bg,bg,N/A,N/A
1346:bg,bg,N/A,N/A
1347:bg,bg,N/A,N/A
1348:bg,bg,N/A,N/A
1349:bg,bg,N/A,N/A
1350:bg,bg,N/A,N/A
1351:bg,bg,N/A,N/A
1352:bg,bg,N/A,N/A
1353:bg,bg,N/A,N/A
1354:bg,bg,N/A,N/A
1355:bg,bg,N/A,N/A
1356:bg,bg,N/A,N/A
1357:bg,bg,N/A,N/A
1358:bg,bg,N/A,N/A
1359:bg,bg,N/A,N/A
1360:bg,bg,N/A,N/A
1361:bg,bg,N/A,N/A
1362:bg,bg,N/A,N/A
1363:bg,bg,N/A,N/A
1364:bg,bg,N/A,N/A
1365:bg,bg,N/A,N/A
1366:bg,bg,N/A,N/A
1367:bg,bg,N/A,N/A
1368:bg,bg,N/A,N/A
1369:bg,bg,N/A,N/A
1370:bg,bg,N/A,N/A
1371:bg,bg,N/A,N/A
1372:bg,bg,N/A,N/A
1373:bg,bg,N/A,N/A
1374:bg,bg,N/A,N/A
1375:bg,bg,N/A,N/A
1376:bg,bg,N/A,N/A
1377:bg,bg,N/A,N/A
1378:bg,bg,N/A,N/A
1379:bg,bg,N/A,N/A
1380:bg,bg,N/A,N/A
1381:bg,bg,N/A,N/A
1382:bg,bg,N/A,N/A
1383:bg,bg,N/A,N/A
1384:bg,bg,N/A,N/A
1385:bg,bg,N/A,N/A
1386:bg,bg,N/A,N/A
1387:bg,bg,N/A,N/A
1388:bg,bg,N/A,N/A
1389:bg,bg,N/A,N/A
1390:bg,bg,N/A,N/A
1391:bg,bg,N/A,N/A
1392:bg,bg,N/A,N/A
1393:bg,bg,N/A,N/A
1394:bg,bg,N/A,N/A
1395:bg,bg,N/A,N/A
1396:bg,bg,N/A,N/A
1397:bg,bg,N/A,N/A
1398:bg,bg,N/A,N/A
1399:bg,bg,N/A,N/A
1400:bg,bg,N/A,N/A
1401:bg,bg,N/A,N/A
1402:bg,bg,N/A,N/A
1403:bg,bg,N/A,N/A
1404:bg,bg,N/A,N/A
1405:bg,bg,N/A,N/A
1406:bg,bg,N/A,N/A
1407:bg,bg,N/A,N/A
1408:bg,bg,N/A,N/A
1409:bg,bg,N/A,N/A
1410:bg,bg,N/A,N/A
1411:bg,bg,N/A,N/A
1412:bg,bg,N/A,N/A
1413:bg,bg,N/A,N/A
1414:bg,bg,N/A,N/A
1415:bg,bg,N/A,N/A
1416:bg,bg,N/A,N/A
1417:bg,bg,N/A,N/A
1418:bg,bg,N/A,N/A
1419:bg,bg,N/A,N/A
1420:bg,bg,N/A,N/A
1421:bg,bg,N/A,N/A
1422:bg,bg,N/A,N/A
1423:bg,bg,N/A,N/A
1424:bg,bg,N/A,N/A
1425:bg,bg,N/A,N/A
1426:bg,bg,N/A,N/A
1427:bg,bg,N/A,N/A
1428:bg,bg,N/A,N/A
1429:bg,bg,N/A,N/A
1430:bg,bg,N/A,N/A
1431:bg,bg,N/A,N/A
1432:bg,bg,N/A,N/A
1433:bg,bg,N/A,N/A
1434:bg,bg,N/A,N/A
1435:bg,bg,N/A,N/A
1436:bg,bg,N/A,N/A
1437:bg,bg,N/A,N/A
1438:bg,bg,N/A,N/A
1439:bg,bg,N/A,N/A
1440:bg,bg,N/A,N/A
1441:bg,bg,N/A,N/A
1442:bg,bg,N/A,N/A
1443:bg,bg,N/A,N/A
1444:bg,bg,N/A,N/A
1445:bg,bg,N/A,N/A
1446:bg,bg,N/A,N/A
1447:bg,bg,N/A,N/A
1448:bg,bg,N/A,N/A
1449:bg,bg,N/A,N/A
1450:bg,bg,N/A,N/A
1451:bg,bg,N/A,N/A
1452:bg,bg,N/A,N/A
1453:bg,bg,N/A,N/A
1454:bg,bg,N/A,N/A
1455:bg,bg,N/A,N/A
1456:bg,bg,N/A,N/A
1457:bg,bg,N/A,N/A
1458:bg,bg,N/A,N/A
1459:bg,bg,N/A,N/A
1460:bg,bg,N/A,N/A
1461:bg,bg,N/A,N/A
1462:bg,bg,N/A,N/A
1463:bg,bg,N/A,N/A
1464:bg,bg,N/A,N/A
1465:bg,bg,N/A,N/A
1466:bg,bg,N/A,N/A
1467:bg,bg,N/A,N/A
1468:bg,bg,N/A,N/A
1469:bg,bg,N/A,N/A
1470:bg,bg,N/A,N/A
1471:bg,bg,N/A,N/A
1472:bg,bg,N/A,N/A
1473:bg,bg,N/A,N/A
1474:bg,bg,N/A,N/A
1475:bg,bg,N/A,N/A
1476:bg,bg,N/A,N/A
1477:bg,bg,N/A,N/A
1478:bg,bg,N/A,N/A
1479:bg,bg,N/A,N/A
1480:bg,bg,N/A,N/A
1481:bg,bg,N/A,N/A
1482:bg,bg,N/A,N/A
1483:bg,bg,N/A,N/A
1484:bg,bg,N/A,N/A
1485:bg,bg,N/A,N/A
1486:bg,bg,N/A,N/A
1487:bg,bg,N/A,N/A
1488:bg,bg,N/A,N/A
1489:bg,bg,N/A,N/A
1490:bg,bg,N/A,N/A
1491:bg,bg,N/A,N/A
1492:bg,bg,N/A,N/A
1493:bg,bg,N/A,N/A
1494:bg,bg,N/A,N/A
1495:bg,bg,N/A,N/A
1496:bg,bg,N/A,N/A
1497:bg,bg,N/A,N/A
1498:bg,bg,N/A,N/A
1499:bg,bg,N/A,N/A
1500:bg,bg,N/A,N/A
1501:bg,bg,N/A,N/A
1502:bg,bg,N/A,N/A
1503:bg,bg,N/A,N/A
1504:bg,bg,N/A,N/A
1505:bg,bg,N/A,N/A
1506:bg,bg,N/A,N/A
1507:bg,bg,N/A,N/A
1508:bg,bg,N/A,N/A
1509:bg,bg,N/A,N/A
1510:bg,bg,N/A,N/A
1511:bg,bg,N/A,N/A
1512:bg,bg,N/A,N/A
1513:bg,bg,N/A,N/A
1514:bg,bg,N/A,N/A
1515:bg,bg,N/A,N/A
1516:bg,bg,N/A,N/A
1517:bg,bg,N/A,N/A
1518:bg,bg,N/A,N/A
1519:bg,bg,N/A,N/A
1520:bg,bg,N/A,N/A
1521:bg,bg,N/A,N/A
1522:bg,bg,N/A,N/A
1523:bg,bg,N/A,N/A
1524:bg,bg,N/A,N/A
1525:bg,bg,N/A,N/A
1526:bg,bg,N/A,N/A
1527:bg,bg,N/A,N/A
1528:bg,bg,N/A,N/A
1529:bg,bg,N/A,N/A
1530:bg,bg,N/A,N/A
1531:bg,bg,N/A,N/A
1532:bg,bg,N/A,N/A
1533:bg,bg,N/A,N/A
1534:bg,bg,N/A,N/A
1535:bg,bg,N/A,N/A
1536:bg,bg,N/A,N/A
1537:bg,bg,N/A,N/A
1538:bg,bg,N/A,N/A
1539:bg,bg,N/A,N/A
1540:bg,bg,N/A,N/A
1541:bg,bg,N/A,N/A
1542:bg,bg,N/A,N/A
1543:bg,bg,N/A,N/A
1544:bg,bg,N/A,N/A
1545:bg,bg,N/A,N/A
1546:bg,bg,N/A,N/A
1547:bg,bg,N/A,N/A
1548:bg,bg,N/A,N/A
1549:bg,bg,N/A,N/A
1550:bg,bg,N/A,N/A
1551:bg,bg,N/A,N/A
1552:bg,bg,N/A,N/A
1553:bg,bg,N/A,N/A
1554:bg,bg,N/A,N/A
1555:bg,bg,N/A,N/A
1556:bg,bg,N/A,N/A
1557:bg,bg,N/A,N/A
1558:bg,bg,N/A,N/A
1559:bg,bg,N/A,N/A
1560:bg,bg,N/A,N/A
1561:bg,bg,N/A,N/A
1562:bg,bg,N/A,N/A
1563:bg,bg,N/A,N/A
1564:bg,bg,N/A,N/A
1565:bg,bg,N/A,N/A
1566:bg,bg,N/A,N/A
1567:bg,bg,N/A,N/A
1568:bg,bg,N/A,N/A
1569:bg,bg,N/A,N/A
1570:bg,bg,N/A,N/A
1571:bg,bg,N/A,N/A
1572:bg,bg,N/A,N/A
1573:bg,bg,N/A,N/A
1574:bg,bg,N/A,N/A
1575:bg,bg,N/A,N/A
1576:bg,bg,N/A,N/A
1577:bg,bg,N/A,N/A
1578:bg,bg,N/A,N/A
1579:bg,bg,N/A,N/A
1580:bg,bg,N/A,N/A
1581:bg,bg,N/A,N/A
1582:bg,bg,N/A,N/A
1583:bg,bg,N/A,N/A
1584:bg,bg,N/A,N/A
1585:bg,bg,N/A,N/A
1586:bg,bg,N/A,N/A
1587:bg,bg,N/A,N/A
1588:bg,bg,N/A,N/A
1589:bg,bg,N/A,N/A
1590:bg,bg,N/A,N/A
1591:bg,bg,N/A,N/A
1592:bg,bg,N/A,N/A
1593:bg,bg,N/A,N/A
1594:bg,bg,N/A,N/A
1595:bg,bg,N/A,N/A
1596:bg,bg,N/A,N/A
1597:bg,bg,N/A,N/A
1598:bg,bg,N/A,N/A
1599:bg,bg,N/A,N/A
1600:bg,bg,N/A,N/A
1601:bg,bg,N/A,N/A
1602:bg,bg,N/A,N/A
1603:bg,bg,N/A,N/A
1604:bg,bg,N/A,N/A
1605:bg,bg,N/A,N/A
1606:bg,bg,N/A,N/A
1607:bg,bg,N/A,N/A
1608:bg,bg,N/A,N/A
1609:bg,bg,N/A,N/A
1610:bg,bg,N/A,N/A
1611:bg,bg,N/A,N/A
1612:bg,bg,N/A,N/A
1613:bg,bg,N/A,N/A
1614:bg,bg,N/A,N/A
1615:bg,bg,N/A,N/A
1616:bg,bg,N/A,N/A
1617:bg,bg,N/A,N/A
1618:bg,bg,N/A,N/A
1619:bg,bg,N/A,N/A
1620:bg,bg,N/A,N/A
1621:bg,bg,N/A,N/A
1622:bg,bg,N/A,N/A
1623:bg,bg,N/A,N/A
1624:bg,bg,N/A,N/A
1625:bg,bg,N/A,N/A
1626:bg,bg,N/A,N/A
1627:bg,bg,N/A,N/A
1628:bg,bg,N/A,N/A
1629:bg,bg,N/A,N/A
1630:bg,bg,N/A,N/A
1631:bg,bg,N/A,N/A
1632:bg,bg,N/A,N/A
1633:bg,bg,N/A,N/A
1634:bg,bg,N/A,N/A
1635:bg,bg,N/A,N/A
1636:bg,bg,N/A,N/A
1637:bg,bg,N/A,N/A
1638:bg,bg,N/A,N/A
1639:bg,bg,N/A,N/A
1640:bg,bg,N/A,N/A
1641:bg,bg,N/A,N/A
1642:bg,bg,N/A,N/A
1643:bg,bg,N/A,N/A
1644:bg,bg,N/A,N/A
1645:bg,bg,N/A,N/A
1646:bg,bg,N/A,N/A
1647:bg,bg,N/A,N/A
1648:bg,bg,N/A,N/A
1649:bg,bg,N/A,N/A
1650:bg,bg,N/A,N/A
1651:bg,bg,N/A,N/A
